17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=6, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Connection reset by peer)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=26, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=29, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=25, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=23} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=24} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=11, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=20, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=11, 6=0, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=22, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=20} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=23, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=3, 6=0, 0=0} (Broken pipe)
17:13:18 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=22} (Broken pipe)
17:13:18 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=21} (Connection reset by peer)
17:13:18 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=4, 6=0, 0=0} (Broken pipe)
17:13:18 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=16, 6=0, 0=0} (Connection reset by peer)
17:13:19 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=7} (Broken pipe)
17:13:20 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=13, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:21 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=27, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=14, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=18, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message ASK with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=18, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=1, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=20, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TELL of 1000 bitcakes with clock {1=2, 2=0, 3=0, 4=1, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=15, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=3, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=28, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=7, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=24, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=23, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=4, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=2, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=17, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=24, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=21, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=16, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=10} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=7, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=3, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=25, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=12, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=23} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=10, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=1, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=13, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=20, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=24, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=10, 6=0, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=6, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=18, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=23, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=29, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=6, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=12} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=21, 6=0, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=3, 6=0, 0=0} (Operation timed out)
17:13:44 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=18, 6=0, 0=0} (Operation timed out)
17:13:44 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=17, 6=0, 0=0} (Operation timed out)
